Company,EntryDate,COmpleteDate,Task Owner 
Gleason-Hamill,12/16/2018,2019-01-11 00:00:00,Ryan Foster
"Swaniawski, Jenkins and Ruecker",5/14/2019,2019-05-22 00:00:00,Ryan Boudreaux
Stiedemann Inc,5/10/2020,2020-10-06 00:00:00,Mia Zollars
Abshire-Berge,12/2/2018,2018-12-27 00:00:00,Wayne Tillman
Koch LLC,3/10/2020,2020-12-04 00:00:00,Benjamin Ellis
"Bernier, Schumm and Yundt",12/7/2018,001/01/2021,James Macki
Dibbert-Zemlak,9/11/2020,2020-09-21 00:00:00,Anita Hill
Fahey-Schuppe,12/14/2018,2018-12-23 00:00:00,Andrew Martin
Denesik Group,10/25/2018,2018-11-02 00:00:00,Shaun Enoch
Schaden and Sons,1/19/2019,2019-02-13 00:00:00,Don Johnson
Swift Group,7/25/2019,2019-08-24 00:00:00,Robert Moore
Skiles Group,5/19/2019,2021-01-01 00:00:00,Pauline Hamilton
Kirlin Inc,7/11/2019,2019-07-21 00:00:00,Diane Livingston
Lakin LLC,3/21/2019,2019-03-29 00:00:00,Bridget Wigington
"Sawayn, Abbott and Toy",7/21/2020,2020-08-15 00:00:00,Kimberly Jobe
"Waters, Morissette and Quitzon",9/10/2019,2019-09-24 00:00:00,Brenda Boyer
Ryan-Olson,8/1/2020,2020-08-12 00:00:00,Sara Grammer
Mills-Deckow,2/13/2019,2019-03-02 00:00:00,Cynthia Swartzentrube
Hettinger-Funk,4/5/2019,2019-04-14 00:00:00,Joshua Hodosy
Mohr-Hayes,7/10/2020,2020-12-09 00:00:00,Angela Hayman
"Osinski, McLaughlin and Hodkiewicz",2/29/2020,2021-01-01 00:00:00,Jose Maranto
"Ortiz, Dare and Schowalter",4/19/2019,2021-01-01 00:00:00,Zachariah Coley
Beier Inc,5/1/2019,2019-12-09 00:00:00,Alphonse Stoops
Torp LLC,3/8/2020,2020-03-17 00:00:00,Rosemary Spenser
Becker-Doyle,2/21/2020,2020-03-15 00:00:00,Kayla Lung
Blanda Group,7/20/2020,2020-07-30 00:00:00,Donna Weaver
Hamill-Greenholt,7/25/2019,2021-01-01 00:00:00,Alberta Smith
"Cole, Williamson and Thiel",7/16/2019,2019-12-09 00:00:00,Jeremy Wilks
Spinka-Yundt,8/9/2020,2020-09-04 00:00:00,Andy Steen
Oberbrunner Group,9/16/2018,2018-09-29 00:00:00,Thomas Baldwin
"Mante, Reichel and Schuster",6/15/2020,2020-07-11 00:00:00,Albert Moore
Deckow and Sons,6/2/2020,2020-07-01 00:00:00,Terri Tanner
Fritsch Group,5/30/2019,2019-06-27 00:00:00,Glenda Jones
Schroeder-Terry,8/5/2019,2019-08-14 00:00:00,Robin Waters
"Doyle, Kertzmann and Luettgen",9/13/2020,2020-10-10 00:00:00,Jeffrey Ala
"Mayert, Schultz and Hartmann",11/21/2019,2019-12-08 00:00:00,Cheryl Lucchese
Bradtke-Heidenreich,2/27/2019,2019-03-18 00:00:00,Roy Rohr
"Crist, Jenkins and Gottlieb",12/23/2019,2020-01-16 00:00:00,Mary Davis
"Nolan, Waters and Crist",2/3/2019,2019-03-04 00:00:00,James Hodge
"Cormier, Schaden and Krajcik",9/30/2019,2021-01-01 00:00:00,Patrick Gates
Keebler-Keebler,11/29/2018,2018-12-10 00:00:00,Frieda Gibson
Osinski Group,11/20/2019,2019-11-29 00:00:00,Helen Hackworth
Casper-Dickens,5/24/2019,2019-06-13 00:00:00,Kristine Garcia
Moen-Metz,6/11/2020,7/18/2020,Alejandro Leonard
"Steuber, McClure and Orn",11/26/2019,2019-12-16 00:00:00,Ralph Franklin
"Reilly, Johnson and Beatty",11/9/2018,2018-12-12 00:00:00,John Kelly
"Kassulke, Koepp and Stanton",2/10/2020,2020-02-17 00:00:00,Jessica Moran
McCullough-Connelly,6/21/2020,2021-01-01 00:00:00,Sheila Davis
Lakin-Marvin,8/13/2019,2019-12-09 00:00:00,Danilo Morrison
Dietrich-Bartoletti,9/21/2020,001/01/2021,Blanca Clark
"Hickle, Mosciski and Abshire",3/9/2020,2020-04-01 00:00:00,Domingo Aldrich
"Wehner, Botsford and Kutch",3/25/2019,2019-04-09 00:00:00,Robert Ross
"Borer, Strosin and Rogahn",4/24/2019,2019-05-13 00:00:00,Jeffrey Baumgardner
"Hilpert, Gleichner and Jakubowski",10/31/2018,2018-11-09 00:00:00,William Laforge
"McLaughlin, Schiller and Walter",3/24/2019,2019-04-17 00:00:00,Mary Goldberg
Herzog-Hayes,1/27/2019,2019-02-03 00:00:00,Helen Goins
"Mills, Stark and Langworth",7/18/2020,2020-08-16 00:00:00,Karen Carlson
Torphy LLC,10/3/2018,2018-10-29 00:00:00,Antoine Kramer
"Kiehn, Cremin and Bruen",8/25/2020,2020-09-02 00:00:00,Christy Johnson
Stracke Inc,2/22/2019,2019-03-21 00:00:00,Carmelina Weinberg
Windler-Lind,11/22/2019,2019-12-12 00:00:00,Shannon Kulas
Leuschke LLC,7/23/2019,2019-08-10 00:00:00,Christopher Devoll
"Kuphal, Becker and Kilback",7/13/2019,2019-08-09 00:00:00,Jaime Thomas
Pouros LLC,7/31/2019,2019-08-08 00:00:00,Matthew Burlingame
Jaskolski-Herzog,6/19/2020,2020-07-15 00:00:00,Ramon Hein
Blick and Sons,4/16/2019,2019-12-09 00:00:00,Sharon Steele
"Cremin, Corkery and Hintz",4/13/2020,4/23/2020,Gertrude Cower
"Deckow, Padberg and Thiel",4/5/2020,2021-01-01 00:00:00,Thomas Cooper
Jones LLC,1/16/2019,2019-02-14 00:00:00,Glenn Harris
"Kerluke, Hane and Prosacco",1/26/2020,2020-02-12 00:00:00,Lisa Couch
Vandervort-Harris,12/4/2018,2018-12-20 00:00:00,Wanda Anderson
Schneider and Sons,2/24/2019,2019-03-21 00:00:00,Jennifer Foster
"Skiles, O'Kon and Lynch",8/17/2019,2019-08-30 00:00:00,Nancy Walters
"Willms, Ward and Osinski",2/21/2019,2020-12-09 00:00:00,Gerald Ahern
Cartwright-Weber,9/24/2019,2019-10-05 00:00:00,Regina Ortiz
Wuckert-Wiegand,2/5/2020,2020-12-09 00:00:00,Joanne Bond
"Murray, Mitchell and Wilderman",5/20/2019,2020-12-09 00:00:00,Jon Epperson
Turner Inc,3/10/2020,2020-03-17 00:00:00,Kim Corella
Becker Inc,8/24/2020,2020-12-09 00:00:00,Tamara Balderama
Sporer LLC,6/13/2019,2019-07-03 00:00:00,Raymond Horne
Medhurst LLC,9/24/2018,2021-01-01 00:00:00,Andrea Sanchez
Ondricka-Cummings,12/10/2018,2020-12-09 00:00:00,Melvin Mickey
Corwin LLC,9/28/2019,2019-10-15 00:00:00,Leslie Rivas
Brekke-Paucek,8/11/2019,2019-09-05 00:00:00,Richard Belden
"Hermann, Doyle and Emmerich",1/18/2020,2020-02-15 00:00:00,Ralph Moers
"Kub, Jerde and Hauck",1/6/2019,2019-02-02 00:00:00,Norma Pray
McLaughlin-Koelpin,5/28/2020,2020-12-09 00:00:00,Carolyn Smith
Zulauf-Wisozk,8/28/2020,2020-09-16 00:00:00,Chris Vargas
"Blick, Towne and McDermott",8/25/2019,2019-09-02 00:00:00,Belinda Stewart
Orn-O'Keefe,6/4/2020,2020-07-02 00:00:00,Melinda Booker
Friesen and Sons,7/12/2020,2021-01-01 00:00:00,Karen James
Satterfield-Schaefer,8/10/2019,2021-01-01 00:00:00,Robert Bell
Baumbach Inc,9/7/2018,2018-10-04 00:00:00,Samantha Baker
"Bogan, Muller and Rowe",3/14/2019,2021-01-01 00:00:00,Judy Brower
Schiller Group,9/7/2020,2021-01-01 00:00:00,Ted Coleman
Hills-Schneider,6/19/2019,2019-06-29 00:00:00,Marie Pilla
Parker LLC,7/9/2019,2021-01-01 00:00:00,John Part
Kunde Inc,11/7/2018,2018-11-24 00:00:00,Ebony Blackwell
"Kreiger, Thompson and Gutkowski",3/13/2019,2019-04-10 00:00:00,Tim Moore
Lebsack-McLaughlin,12/20/2018,2021-01-01 00:00:00,John Booth
Heathcote LLC,6/12/2019,2019-06-28 00:00:00,Tammy Wilson
Bauch Inc,11/21/2018,2018-12-06 00:00:00,Tommy Bealer
Corwin LLC,12/17/2018,2019-01-01 00:00:00,Sonya Williams
Davis-Lindgren,12/27/2019,2020-01-22 00:00:00,Lula Miranda
Altenwerth LLC,10/16/2019,2019-11-01 00:00:00,Charles Martin
O'Hara Group,9/12/2019,2019-10-09 00:00:00,Cynthia Dickens
Von LLC,12/24/2018,2019-01-07 00:00:00,Steve Gonzalez
"Runolfsson, Konopelski and Dicki",11/28/2018,2018-12-05 00:00:00,Kim Hernandez
Okuneva-Murphy,1/4/2019,2021-01-01 00:00:00,Betty Wright
Dicki-Murazik,3/3/2020,2021-01-01 00:00:00,Stella Oliver
Pacocha and Sons,1/26/2020,2020-02-21 00:00:00,William Williams
"Hilll, McClure and Larkin",4/19/2019,2019-05-14 00:00:00,Opal Pennington
"Kreiger, Connelly and Spinka",8/3/2020,2021-01-01 00:00:00,Walter Price
Hackett-Maggio,9/11/2018,2018-10-04 00:00:00,Patricia Hinds
Schumm Group,3/29/2019,2021-01-01 00:00:00,Norman Pelayo
Will LLC,10/25/2018,2021-01-01 00:00:00,Charles Rodriquez
Runolfsson-Considine,9/17/2018,2021-01-01 00:00:00,Donna Bramlett
Gleichner Group,6/21/2019,2021-01-01 00:00:00,Shoshana Bays
Runolfsson-Lubowitz,5/20/2020,2021-01-01 00:00:00,Roger Bradt
Wiegand LLC,2/15/2019,2019-03-08 00:00:00,Amy Valentin
Roob-Windler,12/27/2019,2021-01-01 00:00:00,Deborah Cain
Kilback and Sons,5/5/2019,2021-01-01 00:00:00,Sharon Wilkinson
Koch-Olson,1/12/2020,2020-02-05 00:00:00,Edward Surles
Fritsch Group,7/5/2020,2021-01-01 00:00:00,Todd Schwenk
"Kohler, Rosenbaum and Koepp",9/15/2018,2018-10-11 00:00:00,Nicole Light
Goodwin and Sons,4/11/2020,2021-01-01 00:00:00,Bertha Mason
"Batz, Wyman and O'Keefe",3/15/2020,2020-04-06 00:00:00,David Clement
"Strosin, King and McCullough",12/17/2019,2020-01-01 00:00:00,Jewel Newell
Cronin and Sons,8/2/2019,2019-08-13 00:00:00,Miguel Duckey
Huel and Sons,5/31/2020,2020-06-26 00:00:00,Ruth Brown
"O'Kon, Cummings and Rolfson",4/15/2020,2020-05-08 00:00:00,Mary Sullivan
Gottlieb Inc,12/13/2018,2018-12-25 00:00:00,Evan Meza
"Reichert, Collins and Huels",2/28/2019,2019-03-21 00:00:00,Jeffrey Anderson
Collier-Jaskolski,1/27/2019,2019-02-06 00:00:00,Charles Bond
Collins Inc,9/8/2018,2021-01-01 00:00:00,Gloria Lieberman
Kassulke-Batz,8/28/2019,2019-09-21 00:00:00,Jed Wisniewski
"Zulauf, Monahan and Hilll",11/4/2018,2018-11-23 00:00:00,Lisa Mittendorf
"Muller, Barton and Klocko",9/12/2018,2018-09-19 00:00:00,Larry Slater
Lueilwitz-Grant,4/13/2019,2019-05-01 00:00:00,Hollis Johnson
Fisher LLC,11/12/2019,2021-01-01 00:00:00,Dorothy Numbers
Prosacco and Sons,3/31/2019,2021-01-01 00:00:00,Patricia Norrod
VonRueden-Oberbrunner,8/24/2020,2020-09-18 00:00:00,Jacqueline Scott
Conroy Group,10/21/2019,2019-11-20 00:00:00,Irene Conley
Gerhold-Hodkiewicz,9/17/2019,2019-10-12 00:00:00,Maria Chavez
Cole Inc,4/15/2019,2019-05-15 00:00:00,Michael Sanders
Bartell-Bogisich,3/26/2019,2019-04-06 00:00:00,Jade Guglielmo
Erdman LLC,11/20/2019,2019-12-08 00:00:00,Ivan France
Strosin-Ritchie,8/13/2020,2020-08-21 00:00:00,Jasmin Ordonez
Marvin-Kuhn,12/18/2018,2019-01-10 00:00:00,Elizabeth Delia
"Hoeger, Lueilwitz and Bednar",6/4/2019,2019-06-27 00:00:00,Lyda Smith
Ankunding and Sons,6/21/2019,2021-01-01 00:00:00,John Coffey
Johns LLC,4/26/2019,2019-05-20 00:00:00,Louis Steele
Bruen-Boyer,10/28/2019,2019-11-22 00:00:00,William Downs
Lesch LLC,12/15/2018,2019-01-11 00:00:00,Margaret Grumet
Langosh Group,9/21/2019,2019-10-13 00:00:00,Nancy Reitano
Zemlak-Altenwerth,12/15/2018,2021-01-01 00:00:00,Sabrina Weaver
Abbott and Sons,8/4/2019,2021-01-01 00:00:00,Julia Huffman
"Sauer, Hintz and Pfeffer",5/25/2019,2019-06-23 00:00:00,Michele Dye
"Hoeger, Satterfield and Erdman",4/20/2020,2020-05-20 00:00:00,Peter Ware
Kris Group,1/24/2019,2019-02-06 00:00:00,Derick Griggs
Kemmer Group,1/11/2020,2020-02-02 00:00:00,Leland Moody
Hackett-Morar,8/3/2019,2019-08-20 00:00:00,William Talavera
Effertz-Klocko,8/9/2019,2019-09-04 00:00:00,Zachary Fite
Kshlerin and Sons,8/27/2020,2020-09-14 00:00:00,Victor Bennett
Gutmann-Mitchell,9/22/2019,2019-10-07 00:00:00,Jeffrey Burns
Wilderman Inc,1/4/2019,2019-01-19 00:00:00,Willie Reyes
Davis Inc,3/8/2019,2019-03-20 00:00:00,Dale Miranda
Langosh Inc,7/5/2020,2020-07-24 00:00:00,Alvin Dougherty
Wisoky-Bergstrom,8/30/2020,2020-12-09 00:00:00,Susan Rodriguez
Goyette LLC,10/1/2018,2018-10-14 00:00:00,Mary Mosser
Hauck LLC,6/26/2019,2019-07-21 00:00:00,Branden Cozzolino
"O'Connell, Von and Larson",7/29/2019,2019-12-09 00:00:00,Tina Doss
Glover-Kuhlman,8/2/2020,2020-08-11 00:00:00,David Miller
"Runolfsdottir, Bashirian and Lebsack",6/22/2019,2019-07-06 00:00:00,Sally Watkins
"Kozey, Crist and Hickle",6/9/2020,2020-12-09 00:00:00,Sandy Sturges
Walker-Klein,12/15/2019,2020-01-10 00:00:00,Katherine Grand
Farrell-Baumbach,11/19/2018,2018-11-27 00:00:00,Kristin Clark
"Kilback, Jacobi and Wuckert",8/4/2019,2019-08-18 00:00:00,James Benavidez
Schimmel Inc,1/20/2019,2019-02-18 00:00:00,Theodore Quezada
Ullrich Inc,4/12/2019,2019-05-05 00:00:00,John Cary
Rau-Kuphal,1/6/2019,2019-01-18 00:00:00,Robert Goodman
Hickle-Harber,12/6/2019,2019-12-14 00:00:00,Matt Frye
Runolfsdottir Inc,7/23/2020,2021-01-01 00:00:00,Bernard Odom
Jones-Weber,9/18/2018,2018-10-10 00:00:00,William Gross
Goyette and Sons,6/6/2019,2019-06-22 00:00:00,William Winfield
Hodkiewicz-Ledner,7/6/2019,2019-07-19 00:00:00,Nancy Lassiter
Dietrich-Littel,10/3/2018,2019-12-09 00:00:00,Wally Shupe
"Dooley, Dietrich and Block",7/22/2020,2020-08-11 00:00:00,Clara Buchanan
Moen Group,1/6/2020,2020-01-13 00:00:00,Christine Galvan
Wintheiser Group,2/20/2019,2019-03-01 00:00:00,Rita Patrick
Bergstrom and Sons,11/23/2019,2020-12-09 00:00:00,Angela Miller
Zemlak Group,12/14/2018,2019-12-09 00:00:00,Herbert Oliver
Ortiz Inc,9/6/2018,2018-09-29 00:00:00,Lillie Hays
"Skiles, Thiel and Green",6/30/2020,2021-12-09 00:00:00,Maria Rodriguez
"Schimmel, Doyle and Bauch",9/28/2018,2019-12-09 00:00:00,Carissa Gervais
Bartell-Kling,11/23/2018,2018-12-22 00:00:00,Brian Bento
Cassin and Sons,6/22/2019,2019-07-15 00:00:00,James Duncan
"Runte, Koepp and Murphy",1/31/2019,2019-02-11 00:00:00,Michaela Carmody
"Haag, Hyatt and Hirthe",10/16/2018,2021-01-01 00:00:00,Marcus Odonnell
"Ruecker, Greenholt and DuBuque",11/27/2018,2018-12-24 00:00:00,Dennis Elerson
Buckridge-Klocko,9/6/2019,2019-10-03 00:00:00,Robert Dretzka
"Stehr, Hansen and Buckridge",8/8/2020,2020-08-24 00:00:00,Pauline Miles
Rice LLC,7/2/2019,2020-12-09 00:00:00,Shirley Messer
Schneider-Hackett,8/9/2020,2020-09-01 00:00:00,Joseph Dykes
"Quitzon, Murphy and Kuhic",10/25/2019,2020-12-09 00:00:00,Jodi Guerrero
"Kreiger, Terry and Schuppe",9/11/2018,2018-10-04 00:00:00,Arlene Aldrich
Schneider Inc,11/7/2019,2019-12-05 00:00:00,Kathleen Roy
Shanahan Group,4/8/2020,2020-04-15 00:00:00,Lucille Crays
"Hickle, Fritsch and Klein",11/30/2019,2020-12-09 00:00:00,Tabetha Bolton
"VonRueden, Bartell and McKenzie",8/10/2020,2020-08-17 00:00:00,Donna Rosenbaum
Lebsack-Ullrich,3/11/2019,2019-03-27 00:00:00,Lorraine Nadeau
"Upton, Lebsack and Stamm",5/14/2020,2021-12-09 00:00:00,Oliver Gomez
Durgan and Sons,12/13/2019,2020-01-03 00:00:00,Maria Warren
Stracke LLC,12/13/2019,2020-01-05 00:00:00,Thomas Kshywonis
"Goodwin, Maggio and Conn",8/7/2020,2020-09-05 00:00:00,Jack Faulkner
Pagac and Sons,9/9/2018,2018-09-20 00:00:00,Kermit Martinez
Koepp-Purdy,5/27/2019,2021-01-01 00:00:00,Patricia Washington
Hane Inc,7/5/2019,2019-07-27 00:00:00,Cheryl Riley
"Ebert, Trantow and Ritchie",11/17/2019,2019-11-29 00:00:00,Julie Hernandez
Ruecker-Flatley,11/25/2019,2019-12-08 00:00:00,Jean Keller
Torp-Dooley,10/5/2018,2018-10-23 00:00:00,Bryant Johnson
Smith Group,12/12/2018,2019-01-10 00:00:00,Sharon Mitchell
Hamill-Schaden,9/6/2019,2019-10-05 00:00:00,Estela Chavez
"Pagac, Gutmann and Cassin",9/30/2019,2019-10-09 00:00:00,Maudie Christopher
Kuhic and Sons,1/29/2020,2020-02-07 00:00:00,Kris Burgher
Streich-Terry,9/2/2018,2019-12-09 00:00:00,Melanie Spurgeon
Dare-Abshire,3/2/2020,2020-12-07 00:00:00,Deborah Cortez
"Towne, Fritsch and Mohr",5/17/2020,2020-05-27 00:00:00,Willie Barker
Kshlerin and Sons,7/11/2019,2019-07-20 00:00:00,Nicholas Dunson
Nader-Auer,9/27/2018,2018-10-10 00:00:00,Daniel Clements
"Terry, Blick and Schmidt",7/5/2019,2019-07-16 00:00:00,Steven Brown
Flatley Group,10/23/2018,2018-11-06 00:00:00,Joseph Haas
Heaney-Dicki,1/29/2020,2020-02-17 00:00:00,Mike Mullins
Zulauf LLC,10/19/2018,2018-11-07 00:00:00,Allan Mccarthy
Williamson Inc,5/11/2020,2020-06-01 00:00:00,Charles Barnhart
Metz and Sons,12/16/2019,2020-01-07 00:00:00,Brian Dickson
"Daugherty, Donnelly and Durgan",2/2/2019,2019-02-17 00:00:00,Nikki Shaw
Baumbach and Sons,3/20/2019,2019-04-09 00:00:00,Taylor Duty
"Gleason, Cartwright and Douglas",7/7/2020,2020-07-31 00:00:00,Leslie Lopez
Gleason-Berge,2/2/2019,2019-02-25 00:00:00,Jerry Shearon
"Kertzmann, Maggio and Considine",5/28/2019,2021-01-01 00:00:00,Jose Wilson
Huels Inc,3/15/2019,2019-04-02 00:00:00,Jerry Lawrence
Breitenberg-Ullrich,11/10/2019,2019-12-12 00:00:00,Margaret Clark
Considine Group,3/24/2019,2019-04-03 00:00:00,Antonia Gavin
"Senger, Wintheiser and Brown",2/18/2020,2020-03-17 00:00:00,Gayle Kapur
Predovic and Sons,10/26/2019,2019-11-17 00:00:00,Penny Davidson
"Kris, Donnelly and Zulauf",2/10/2020,2021-01-01 00:00:00,Steven Long
"Sawayn, Lemke and Gleason",12/7/2019,9/12/202,Milton Nahass
"Olson, Metz and Jacobson",10/25/2019,2021-01-01 00:00:00,Dale Torres
Botsford LLC,10/3/2019,2019-10-28 00:00:00,Steve Medina
"Smitham, Mayer and Bruen",5/31/2019,2019-06-15 00:00:00,Yvonne Lund
Stroman-Koss,3/20/2020,2020-04-05 00:00:00,Robert Visitacion
Heathcote-Miller,1/8/2019,2019-01-26 00:00:00,Eunice Spader
Schiller-Kuhlman,6/21/2019,2021-01-01 00:00:00,Steven Neal
"Sipes, Corwin and Christiansen",10/6/2018,2021-01-01 00:00:00,Kenisha Thornburg
"Spinka, Smith and Kutch",10/10/2019,2019-11-05 00:00:00,Yvette Larson
"Witting, Hickle and Donnelly",5/20/2019,2019-06-18 00:00:00,Margaret Murry
Jones-Brekke,6/7/2019,2019-06-26 00:00:00,Joshua Smith
Paucek Inc,2/6/2019,2021-01-01 00:00:00,Patricia Peeples
Quigley-Raynor,6/8/2019,2021-01-01 00:00:00,David Andrews
Will LLC,2/17/2019,2021-01-01 00:00:00,Jeraldine Cusick
Hansen and Sons,5/14/2019,2019-05-23 00:00:00,Mark Stiner
Tromp-Hoppe,8/12/2019,2021-01-01 00:00:00,Christopher Micheau
Heaney Group,11/7/2018,2018-11-21 00:00:00,Jack Ishikawa
Cremin-O'Hara,7/15/2019,2019-08-13 00:00:00,Stanley Jones
Williamson and Sons,1/4/2019,2019-01-26 00:00:00,Jeff Noakes
"Howe, Connelly and Von",1/11/2020,2020-02-09 00:00:00,Melvin Hayes
Walter and Sons,2/6/2019,2021-01-01 00:00:00,Franklin Connell
Mohr-Waters,9/29/2019,2019-10-28 00:00:00,Elvira Stein
Murphy LLC,1/1/2019,2019-01-19 00:00:00,Sebastian Brown
Conroy LLC,11/13/2019,2019-11-25 00:00:00,Randy Thomas
Adams LLC,7/13/2020,2020-08-12 00:00:00,Yolanda Garcia
Schmidt-Rodriguez,11/8/2019,2019-11-23 00:00:00,Jeffrey Carroll
Smitham-Abernathy,1/29/2019,2019-02-09 00:00:00,Valencia Mckinney
Heller-Rolfson,6/24/2020,2020-07-11 00:00:00,Crystal Cabe
Johns-Tromp,2/4/2019,2019-02-23 00:00:00,Willa Foulk
"Gleason, Johnston and Metz",8/6/2019,2019-09-04 00:00:00,Carl Chapman
VonRueden Inc,9/6/2018,2018-09-23 00:00:00,Maryellen Whittle
Harvey-Hackett,11/3/2019,2021-01-01 00:00:00,Lester Brotherton
"Rippin, Sipes and Bednar",1/14/2020,2021-01-01 00:00:00,Essie Winkler
"Bartoletti, Heller and Lemke",12/30/2019,2020-01-16 00:00:00,John Evans
Olson Inc,10/13/2018,2021-01-01 00:00:00,Samuel Blevins
"Jerde, Pfannerstill and Weissnat",5/26/2019,2021-01-01 00:00:00,Barbara Shaner
"Will, Weber and Johnson",4/20/2020,2020-05-03 00:00:00,Beth Jones
Cronin Inc,6/6/2019,2021-01-01 00:00:00,Robert Lash
Marquardt-Hilll,4/6/2020,2020-04-23 00:00:00,Flora Price
"Haag, Huels and Tillman",3/5/2020,2020-03-18 00:00:00,Michele Craig
Wehner and Sons,10/2/2019,2019-10-11 00:00:00,Roger Park
"Toy, Legros and Hills",1/10/2020,2021-01-01 00:00:00,Cheryl Pepper
Wisoky-Durgan,3/14/2019,2019-03-30 00:00:00,Marsha Haley
Koss LLC,8/9/2020,2020-08-16 00:00:00,Brant Gregory
"Gerhold, King and Hammes",6/30/2019,2021-01-01 00:00:00,Mary Dunn
"Kulas, Maggio and Sawayn",9/12/2018,2021-01-01 00:00:00,Veronica Williams
Wolff-Pouros,3/23/2019,2019-04-18 00:00:00,Wallace Francis
Kerluke Group,6/29/2019,2021-01-01 00:00:00,Jessica Boynton
Boyer-Ritchie,1/28/2020,2020-02-17 00:00:00,Christopher Matthews
"Kling, Bayer and Kuhic",8/2/2020,2021-01-01 00:00:00,Robert Railsback
"Romaguera, Schinner and Lindgren",2/14/2020,2020-03-03 00:00:00,Chere Owsley
Lubowitz LLC,4/21/2019,2019-05-19 00:00:00,Christopher Tucker
Cole and Sons,1/15/2019,2021-01-01 00:00:00,Patricia Church
"Muller, Runolfsson and Romaguera",5/11/2020,2020-06-08 00:00:00,Harold Graham
DuBuque Inc,12/12/2018,2021-01-01 00:00:00,Ernest Chai
Prohaska-Dickens,12/8/2019,2019-12-26 00:00:00,Robert Lynn
Swaniawski Inc,1/19/2020,2021-01-01 00:00:00,Tracy Jaquess
Turcotte Group,2/5/2019,2019-02-28 00:00:00,David Moshier
Schulist Group,3/22/2019,2019-04-20 00:00:00,Krystal Barber
Hayes-Dickens,10/23/2019,2019-11-12 00:00:00,Charles Mccafferty
Beahan and Sons,2/15/2019,2021-01-01 00:00:00,Lloyd Kelley
Metz-Rowe,12/2/2019,2019-12-19 00:00:00,Sanda Jenkins
Waelchi-Graham,10/17/2019,2021-01-01 00:00:00,William Mcevoy
"Bernhard, Stoltenberg and Emmerich",3/9/2020,2020-03-31 00:00:00,Harold Garabedian
"King, Lehner and Cremin",12/13/2018,2018-12-21 00:00:00,Aileen Fernandez
Aufderhar-O'Hara,6/18/2019,2021-01-01 00:00:00,Audrey Wilson
Weimann and Sons,10/1/2018,2018-10-13 00:00:00,Loretta Collins
"Streich, Ledner and Hauck",9/26/2019,2019-10-26 00:00:00,Anna Young
"Raynor, Dickens and Senger",4/30/2019,2021-01-01 00:00:00,Michael Killam
